Регион,Герой,Количество улиц
Republic of Adygea,Зоя Космодемьянская,1
Republic of Bashkortostan,Зоя Космодемьянская,3
Republic of Buryatia,Зоя Космодемьянская,1
Republic of Altai,Зоя Космодемьянская,0
Republic of Dagestan,Зоя Космодемьянская,2
Republic of Ingushetia,Зоя Космодемьянская,1
Kabardino-Balkarian Republic,Зоя Космодемьянская,0
Republic of Kalmykia,Зоя Космодемьянская,1
Karachay-Cherkess Republic,Зоя Космодемьянская,2
Republic of Karelia,Зоя Космодемьянская,0
Komi Republic,Зоя Космодемьянская,2
Republic of Crimea,Зоя Космодемьянская,0
Republic of Mari El,Зоя Космодемьянская,0
Republic of Mordovia,Зоя Космодемьянская,4
Republic of Sakha,Зоя Космодемьянская,0
Republic of North Ossetia-Alania,Зоя Космодемьянская,1
Republic of Tatarstan,Зоя Космодемьянская,6
Republic of Tuva,Зоя Космодемьянская,0
Udmurt Republic,Зоя Космодемьянская,2
Republic of Khakassia,Зоя Космодемьянская,1
Chechen Republic,Зоя Космодемьянская,2
Chuvash Republic,Зоя Космодемьянская,1
Altai Krai,Зоя Космодемьянская,3
Zabaykalsky Krai,Зоя Космодемьянская,2
Kamchatka Krai,Зоя Космодемьянская,0
Krasnodar Krai,Зоя Космодемьянская,5
Krasnoyarsk Krai,Зоя Космодемьянская,3
Perm Krai,Зоя Космодемьянская,5
Primorsky Krai,Зоя Космодемьянская,2
Stavropol Krai,Зоя Космодемьянская,5
Khabarovsk Krai,Зоя Космодемьянская,2
Amur Oblast,Зоя Космодемьянская,2
Arkhangelsk Oblast,Зоя Космодемьянская,2
Astrakhan Oblast,Зоя Космодемьянская,3
Belgorod Oblast,Зоя Космодемьянская,2
Bryansk Oblast,Зоя Космодемьянская,1
Vladimir Oblast,Зоя Космодемьянская,2
Volgograd Oblast,Зоя Космодемьянская,4
Vologda Oblast,Зоя Космодемьянская,0
Voronezh Oblast,Зоя Космодемьянская,8
Ivanovo Oblast,Зоя Космодемьянская,2
Irkutsk Oblast,Зоя Космодемьянская,3
Kaliningrad Oblast,Зоя Космодемьянская,1
Kaluga Oblast,Зоя Космодемьянская,1
Kemerovo Oblast,Зоя Космодемьянская,4
Kirov Oblast,Зоя Космодемьянская,5
Kostroma Oblast,Зоя Космодемьянская,1
Kurgan Oblast,Зоя Космодемьянская,2
Kursk Oblast,Зоя Космодемьянская,1
Leningrad Oblast,Зоя Космодемьянская,1
Lipetsk Oblast,Зоя Космодемьянская,2
Magadan Oblast,Зоя Космодемьянская,0
Moscow Oblast,Зоя Космодемьянская,2
Murmansk Oblast,Зоя Космодемьянская,1
Nizhny Novgorod Oblast,Зоя Космодемьянская,5
Novgorod Oblast,Зоя Космодемьянская,2
Novosibirsk Oblast,Зоя Космодемьянская,2
Omsk Oblast,Зоя Космодемьянская,1
Orenburg Oblast,Зоя Космодемьянская,2
Oryol Oblast,Зоя Космодемьянская,2
Penza Oblast,Зоя Космодемьянская,1
Pskov Oblast,Зоя Космодемьянская,1
Rostov Oblast,Зоя Космодемьянская,4
Ryazan Oblast,Зоя Космодемьянская,2
Samara Oblast,Зоя Космодемьянская,3
Saratov Oblast,Зоя Космодемьянская,2
Sakhalin Oblast,Зоя Космодемьянская,1
Sverdlovsk Oblast,Зоя Космодемьянская,1
Smolensk Oblast,Зоя Космодемьянская,2
Tambov Oblast,Зоя Космодемьянская,4
Tver Oblast,Зоя Космодемьянская,1
Tomsk Oblast,Зоя Космодемьянская,3
Tula Oblast,Зоя Космодемьянская,1
Tyumen Oblast,Зоя Космодемьянская,1
Ulyanovsk Oblast,Зоя Космодемьянская,6
Chelyabinsk Oblast,Зоя Космодемьянская,2
Yaroslavl Oblast,Зоя Космодемьянская,1
Moscow,Зоя Космодемьянская,1
Saint Petersburg,Зоя Космодемьянская,1
Sevastopol,Зоя Космодемьянская,0
Jewish Autonomous Oblast,Зоя Космодемьянская,1
Nenets Autonomous Okrug,Зоя Космодемьянская,0
Khanty-Mansi Autonomous Okrug,Зоя Космодемьянская,1
Chukotka Autonomous Okrug,Зоя Космодемьянская,0
Yamalo-Nenets Autonomous Okrug,Зоя Космодемьянская,1
